"id","element_id","Activity_id","obj"
"1068429","364423","13029","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": 2.5, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2017-09-11T00:00:00+00:00"", ""elementId"": 364423, ""activityId"": 13029, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": null, ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"1068430","364424","13029","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": 2.5, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2017-09-11T00:00:00+00:00"", ""elementId"": 364424, ""activityId"": 13029, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": null, ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"1068431","364425","13029","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": 2.5, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2017-09-11T00:00:00+00:00"", ""elementId"": 364425, ""activityId"": 13029, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": null, ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"1068432","364426","13029","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": 2.5, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2017-09-11T00:00:00+00:00"", ""elementId"": 364426, ""activityId"": 13029, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": null, ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"757549","195623","3459","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": null, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2025-09-04T20:56:46.766235"", ""elementId"": 195623, ""activityId"": 3459, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": ""false"", ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"757553","195718","3459","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": null, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2025-09-04T20:56:46.766235"", ""elementId"": 195718, ""activityId"": 3459, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": ""false"", ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"757556","195724","3459","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": null, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2025-09-04T20:56:46.766235"", ""elementId"": 195724, ""activityId"": 3459, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": ""false"", ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"1068433","364427","13029","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": 2.5, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2017-09-11T00:00:00+00:00"", ""elementId"": 364427, ""activityId"": 13029, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": null, ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"1068434","364428","13029","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": 2.5, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2017-09-11T00:00:00+00:00"", ""elementId"": 364428, ""activityId"": 13029, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": null, ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"1068435","364429","13029","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": 2.5, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2017-09-11T00:00:00+00:00"", ""elementId"": 364429, ""activityId"": 13029, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": null, ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"1068436","364430","13029","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": 2.5, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2017-09-11T00:00:00+00:00"", ""elementId"": 364430, ""activityId"": 13029, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": null, ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"1068437","364431","13029","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": 2.5, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2017-09-11T00:00:00+00:00"", ""elementId"": 364431, ""activityId"": 13029, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": null, ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"1068438","364432","13029","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": 2.5, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2017-09-11T00:00:00+00:00"", ""elementId"": 364432, ""activityId"": 13029, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": null, ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"757579","130486","3459","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": null, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2025-09-04T20:56:46.766235"", ""elementId"": 130486, ""activityId"": 3459, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": ""false"", ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"757566","195588","3459","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": null, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2025-09-04T20:56:46.766235"", ""elementId"": 195588, ""activityId"": 3459, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": ""false"", ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"757557","195728","3459","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": null, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2025-09-04T20:56:46.766235"", ""elementId"": 195728, ""activityId"": 3459, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": ""false"", ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"1068439","364433","13029","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": 2.5, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2017-09-11T00:00:00+00:00"", ""elementId"": 364433, ""activityId"": 13029, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": null, ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"1068440","364434","13029","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": 2.5, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2017-09-11T00:00:00+00:00"", ""elementId"": 364434, ""activityId"": 13029, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": null, ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"1068441","364435","13029","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": 2.5, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2017-09-11T00:00:00+00:00"", ""elementId"": 364435, ""activityId"": 13029, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": null, ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"1068442","364436","13029","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": 2.5, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2017-09-11T00:00:00+00:00"", ""elementId"": 364436, ""activityId"": 13029, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": null, ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"1068443","364437","13029","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": 2.5, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2017-09-11T00:00:00+00:00"", ""elementId"": 364437, ""activityId"": 13029, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": null, ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"1068444","364438","13029","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": 2.5, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2017-09-11T00:00:00+00:00"", ""elementId"": 364438, ""activityId"": 13029, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": null, ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"1068445","364439","13029","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": 2.5, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2017-09-11T00:00:00+00:00"", ""elementId"": 364439, ""activityId"": 13029, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": null, ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"1068446","364440","13029","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": 2.5, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2017-09-11T00:00:00+00:00"", ""elementId"": 364440, ""activityId"": 13029, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": null, ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"757585","130428","3459","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": null, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2025-09-04T20:56:46.766235"", ""elementId"": 130428, ""activityId"": 3459, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": ""false"", ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"757589","130436","3459","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": null, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2025-09-04T20:56:46.766235"", ""elementId"": 130436, ""activityId"": 3459, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": ""false"", ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"1068447","364441","13029","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": 2.5, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2017-09-11T00:00:00+00:00"", ""elementId"": 364441, ""activityId"": 13029, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": null, ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"1068448","364442","13029","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": 2.5, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2017-09-11T00:00:00+00:00"", ""elementId"": 364442, ""activityId"": 13029, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": null, ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"1068449","364443","13029","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": 2.5, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2017-09-11T00:00:00+00:00"", ""elementId"": 364443, ""activityId"": 13029, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": null, ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
"1068450","364444","13029","{""H"": null, ""L"": null, ""W"": null, ""a"": null, ""hDef"": null, ""delta"": 2.5, ""hDepth"": null, ""repair"": false, ""createdAt"": ""2017-09-11T00:00:00+00:00"", ""elementId"": 364444, ""activityId"": 13029, ""defectKind"": null, ""defectType"": null, ""speedFinal"": null, ""controlType"": null, ""rejDeltaCalc"": null, ""deltaRejFinal"": null, ""geometryDefect"": null, ""geometryHeight"": null, ""geometrySquare"": null, ""defectContiguity"": null, ""defectDescription"": null, ""verticalDeviation"": null, ""dataConfidenceLevel"": null, ""horizontalDeviation"": null, ""neighboringElements"": null, ""degradation_rate_defect"": null, ""delaminationOrientation"": null}"
