"id","tank_id","obj_new","activity_type_id","actual_end_date","planned_start_date","activity_status_id"
2214,830,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 830, ""act_cost"": 923.0, ""createdAt"": ""2019-09-17T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""condition-based"", ""description"": ""Экспертиза ПБ"", ""activityType"": ""industrial safety expertise"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13401,,2019-09-17 00:00:00.000,3
2778,131,"{""by_RBI"": false, ""status"": null, ""act_cost"": 123327.05387, ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""first"", ""description"": ""монтаж"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13429,,2006-05-17 00:00:00.000,3
2906,821,"{""by_RBI"": false, ""status"": null, ""act_cost"": 127506.93423999999, ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""first"", ""description"": ""монтаж"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13429,,1990-08-15 00:00:00.000,3
1438,574,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 574, ""act_cost"": 25.0, ""createdAt"": ""2015-08-28T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""condition-based"", ""description"": ""Экспертиза промышленной безопасности"", ""activityType"": ""industrial safety expertise"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13401,,2015-08-28 00:00:00.000,3
1448,579,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 579, ""act_cost"": 1743.59, ""createdAt"": ""2011-06-30T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""full"", ""description"": ""Техническое диагностирование"", ""activityType"": ""diagnosis"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13424,,2011-06-30 00:00:00.000,3
1506,727,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 727, ""act_cost"": 24.0, ""createdAt"": ""2019-11-13T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""partial"", ""description"": ""Техническое диагностирование"", ""activityType"": ""diagnosis"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13357,,2019-11-13 00:00:00.000,3
13787,1145,"{""sap_updated_at"": ""08.11.2022 00:00:00""}",13413,2022-10-22 00:00:00.000,2022-10-13 00:00:00.000,3
1378,587,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 587, ""act_cost"": 313.824, ""createdAt"": ""2018-10-16T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""partial"", ""description"": ""экспертиза промышленной безопасности"", ""activityType"": ""diagnosis"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13357,,2018-10-16 00:00:00.000,3
13525,1139,"{""sap_updated_at"": ""27.08.2025 09:17:07""}",13413,2025-08-22 00:00:00.000,2025-08-12 00:00:00.000,3
637,388,"{""isPlan"": false, ""status"": null, ""tankId"": 388, ""act_cost"": 5000.0, ""createdAt"": ""2022-02-22T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""full"", ""description"": ""Экспертиза проводится с целью определения соответствия объекта экспертизы предъявляемым к нему требованиям промышленной безопасности."", ""activityType"": ""industrial safety expertise"", ""riskLevelPaper"": null}",13401,,2022-02-22 00:00:00.000,3
13803,1145,"{""sap_updated_at"": ""28.02.2024 00:00:00""}",13413,2024-02-14 00:00:00.000,2024-02-05 00:00:00.000,3
2745,698,"{""by_RBI"": false, ""status"": null, ""act_cost"": 221211.57423, ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""first"", ""description"": ""монтаж"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13429,,1990-04-14 00:00:00.000,3
13804,1145,"{""sap_updated_at"": ""27.03.2024 00:00:00""}",13413,2024-03-13 00:00:00.000,2024-03-06 00:00:00.000,3
2747,586,"{""by_RBI"": false, ""status"": null, ""act_cost"": 221211.57423, ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""first"", ""description"": ""монтаж"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13429,,2002-11-29 00:00:00.000,3
13815,1145,"{""sap_updated_at"": ""27.02.2025 00:00:00""}",13413,2025-02-03 00:00:00.000,2025-02-01 00:00:00.000,3
13816,1145,"{""sap_updated_at"": ""31.03.2025 00:00:00""}",13413,2025-03-19 00:00:00.000,2025-03-31 00:00:00.000,3
13817,1145,"{""sap_updated_at"": ""24.03.2025 00:00:00""}",13413,2025-04-10 00:00:00.000,2025-04-30 00:00:00.000,3
2459,855,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 855, ""act_cost"": 153.63, ""createdAt"": ""2022-04-28T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""condition-based"", ""description"": ""ЭПБ"", ""activityType"": ""industrial safety expertise"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13401,,2022-04-28 00:00:00.000,3
708,388,"{""isPlan"": false, ""status"": null, ""tankId"": 388, ""act_cost"": 10000.0, ""createdAt"": ""2020-07-18T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""capital"", ""description"": ""Ремонт"", ""activityType"": ""repair"", ""riskLevelPaper"": null}",13406,,2020-07-18 00:00:00.000,3
1955,784,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 784, ""act_cost"": 922.0, ""createdAt"": ""2020-06-22T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""condition-based"", ""description"": ""Техническое диагностирование"", ""activityType"": ""diagnosis"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13430,,2020-06-22 00:00:00.000,3
13818,1145,"{""sap_updated_at"": ""21.04.2025 06:15:58""}",13413,2025-05-14 00:00:00.000,2025-05-30 00:00:00.000,3
1403,705,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 705, ""act_cost"": 44.84, ""createdAt"": ""2018-05-30T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""partial"", ""description"": ""экспертиза промышленной безопасности"", ""activityType"": ""industrial safety expertise"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13401,,2018-05-30 00:00:00.000,3
1388,701,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 701, ""act_cost"": 2450.87, ""createdAt"": ""2003-09-12T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""full"", ""description"": ""Полное обследование РВС"", ""activityType"": ""diagnosis"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13424,,2003-09-12 00:00:00.000,3
10266,1052,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": null, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13357,,2019-04-19 00:00:00.000,3
10270,1052,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": null, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13379,,2020-05-20 00:00:00.000,3
2772,777,"{""by_RBI"": false, ""status"": null, ""act_cost"": 127506.93423999999, ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""first"", ""description"": ""монтаж"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13429,,2006-03-27 00:00:00.000,3
13514,1139,"{""sap_updated_at"": ""30.07.2024 00:00:00""}",13413,2024-07-29 00:00:00.000,2024-07-18 00:00:00.000,3
1734,132,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 132, ""act_cost"": 121.968, ""createdAt"": ""2015-09-25T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""partial"", ""description"": ""нивелировка и УЗТ"", ""activityType"": ""diagnosis"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13357,,2015-09-25 00:00:00.000,3
2467,858,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 858, ""act_cost"": 77.0, ""createdAt"": ""2021-06-21T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""full"", ""description"": ""экспертиза промбезопасности"", ""activityType"": ""industrial safety expertise"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13401,,2021-06-21 00:00:00.000,3
1505,727,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 727, ""act_cost"": 25.0, ""createdAt"": ""2015-05-20T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""partial"", ""description"": ""экспертиза промышленной безопасности"", ""activityType"": ""industrial safety expertise"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13401,,2015-05-20 00:00:00.000,3
1507,727,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 727, ""act_cost"": 25.0, ""createdAt"": ""2022-07-22T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""partial"", ""description"": ""экспертиза промышленной безопасности"", ""activityType"": ""industrial safety expertise"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13401,,2022-07-22 00:00:00.000,3
12657,1116,"{""sap_updated_at"": ""21.04.2025 06:15:58""}",13413,2025-05-12 00:00:00.000,2025-05-25 00:00:00.000,3
1589,298,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 298, ""act_cost"": 30.954, ""createdAt"": ""2011-07-11T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""condition-based"", ""description"": ""УЗТ"", ""activityType"": ""diagnosis"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13430,,2011-07-11 00:00:00.000,3
1372,585,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 585, ""act_cost"": 313.824, ""createdAt"": ""2018-07-16T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""condition-based"", ""description"": ""экспертиза промышленной безопасности"", ""activityType"": ""diagnosis"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13430,,2018-07-16 00:00:00.000,3
1661,169,"{""id"": 1661, ""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 169, ""act_cost"": 42.462, ""createdAt"": ""2020-11-19T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""partial"", ""description"": ""УЗТ"", ""activityType"": ""diagnosis"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13357,,2020-11-19 00:00:00.000,3
13596,1140,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": null, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13379,,2016-07-11 00:00:00.000,3
13612,1140,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": null, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13357,,2021-07-09 00:00:00.000,3
1913,131,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 131, ""act_cost"": 121.968, ""createdAt"": ""2008-07-15T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""partial"", ""description"": ""нивелировка и УЗТ"", ""activityType"": ""overview"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13379,,2008-07-15 00:00:00.000,3
1371,585,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 585, ""act_cost"": 313.824, ""createdAt"": ""2018-10-16T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""partial"", ""description"": ""нивелирование РВС и образующие"", ""activityType"": ""diagnosis"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13357,,2018-10-16 00:00:00.000,3
12751,1118,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": null, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13379,,2013-05-17 00:00:00.000,3
1922,131,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 131, ""act_cost"": 42.462, ""createdAt"": ""2018-09-25T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""partial"", ""description"": "" УЗТ"", ""activityType"": ""overview"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13379,,2018-09-25 00:00:00.000,3
1917,131,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 131, ""act_cost"": 121.968, ""createdAt"": ""2012-06-28T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""partial"", ""description"": ""нивелировка и УЗТ"", ""activityType"": ""overview"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13379,,2012-06-28 00:00:00.000,3
13218,1130,"{""sap_updated_at"": ""06.04.2022 00:00:00""}",13413,2022-03-15 00:00:00.000,2022-03-17 00:00:00.000,3
530,332,"{""isPlan"": false, ""status"": null, ""tankId"": 332, ""act_cost"": 3000.0, ""createdAt"": ""2013-10-15T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""current"", ""description"": ""Окраска наружной поверхности резервуара"", ""activityType"": ""repair"", ""riskLevelPaper"": null}",13412,,2013-10-15 00:00:00.000,3
13220,1130,"{""sap_updated_at"": ""10.06.2022 00:00:00""}",13413,2022-05-01 00:00:00.000,2022-05-16 00:00:00.000,3
2963,897,"{""by_RBI"": false, ""status"": null, ""annualCost"": null, ""annualRisk"": null, ""description"": ""монтаж"", ""riskLevelPaper"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13429,,1995-11-05 00:00:00.000,3
13237,1130,"{""sap_updated_at"": ""16.01.2023 00:00:00""}",13413,2022-12-13 00:00:00.000,2022-12-12 00:00:00.000,3
2966,897,"{""by_RBI"": false, ""status"": null, ""annualCost"": null, ""annualRisk"": null, ""description"": ""УЗТ"", ""riskLevelPaper"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13357,,2008-05-20 00:00:00.000,3
13599,1140,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": null, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13379,,2014-08-11 00:00:00.000,3
2922,613,"{""by_RBI"": false, ""status"": null, ""act_cost"": 4000.0, ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""full"", ""description"": ""Монтаж"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13429,,2020-08-01 00:00:00.000,3
13600,1140,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": null, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13379,,2015-09-11 00:00:00.000,3
13610,1140,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": null, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13401,,2018-07-30 00:00:00.000,3
10852,1084,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": null, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13429,,2018-01-09 00:00:00.000,3
13601,1140,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": null, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13357,,2013-11-07 00:00:00.000,3
13615,1141,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": null, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13429,,2004-12-27 00:00:00.000,3
13616,1141,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": null, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13357,,2006-10-16 00:00:00.000,3
10521,1064,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": null, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13429,,2014-03-23 00:00:00.000,3
10858,1086,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": null, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13429,,2018-03-22 00:00:00.000,3
1377,587,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 587, ""act_cost"": 44.84, ""createdAt"": ""2018-10-16T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""annual"", ""description"": ""нивелировка и образующие"", ""activityType"": ""diagnosis"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13356,,2018-10-16 00:00:00.000,3
1379,699,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 699, ""act_cost"": 55.86, ""createdAt"": ""2018-07-03T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""current"", ""description"": ""Результаты УЗТ"", ""activityType"": ""diagnosis"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13430,,2018-07-03 00:00:00.000,3
1389,701,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 701, ""act_cost"": 44.84, ""createdAt"": ""2007-11-19T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""partial"", ""description"": ""Экспертиза промышленной безопасности"", ""activityType"": ""industrial safety expertise"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13401,,2007-11-19 00:00:00.000,3
13819,1145,"{""sap_updated_at"": ""02.06.2025 05:16:35""}",13413,2025-06-26 00:00:00.000,2025-06-29 00:00:00.000,3
13820,1145,"{""sap_updated_at"": ""10.06.2025 18:18:55""}",13413,2025-07-10 00:00:00.000,2025-07-29 00:00:00.000,3
13821,1145,"{""sap_updated_at"": ""27.08.2025 09:17:07""}",13413,2025-08-22 00:00:00.000,2025-08-28 00:00:00.000,3
10522,1064,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": null, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13357,,2019-09-30 00:00:00.000,3
11215,1052,"{""sap_updated_at"": ""21.04.2025 06:15:58""}",13413,2025-05-12 00:00:00.000,2025-05-08 00:00:00.000,3
10531,1067,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": null, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13379,,2017-09-21 00:00:00.000,3
10537,1067,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": null, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13379,,2021-10-29 00:00:00.000,3
13292,1131,"{""sap_updated_at"": ""14.11.2024 12:10:36""}",13381,2022-09-01 00:00:00.000,2022-09-01 00:00:00.000,3
12761,1120,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": null, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13357,,2013-05-17 00:00:00.000,3
13317,1131,"{""sap_updated_at"": ""28.02.2024 00:00:00""}",13413,2024-02-14 00:00:00.000,2024-02-20 00:00:00.000,3
10534,1067,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": null, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13379,,2020-08-11 00:00:00.000,3
13343,1131,"{""sap_updated_at"": ""29.11.2024 00:00:00""}",13412,2024-11-25 00:00:00.000,2024-11-23 08:00:00.000,3
10536,1067,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": null, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13379,,2022-08-28 00:00:00.000,3
13822,1145,"{""sap_updated_at"": ""25.02.2022 00:00:00""}",13413,,2021-12-17 00:00:00.000,3
13823,1145,"{""sap_updated_at"": ""25.02.2022 00:00:00""}",13413,,2022-01-16 00:00:00.000,3
13824,1145,"{""sap_updated_at"": ""25.02.2022 00:00:00""}",13413,,2022-02-15 00:00:00.000,3
10850,1083,"{""by_RBI"": false, ""status"": null, ""is_plan"": false, ""annualCost"": null, ""annualRisk"": null, ""riskLevelPaper"": null, ""activity_status"": null, ""riskTargetValue"": null, ""tankNewDataDate"": null}",13379,,2021-09-30 00:00:00.000,3
2513,866,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 866, ""act_cost"": 154.0, ""createdAt"": ""2022-04-28T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""full"", ""description"": ""ЭПБ"", ""activityType"": ""industrial safety expertise"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13401,,2022-04-28 00:00:00.000,3
1392,702,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 702, ""act_cost"": 55.86, ""createdAt"": ""2018-08-06T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""partial"", ""description"": ""Ультразвуковой контроль"", ""activityType"": ""overview"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13379,,2018-08-06 00:00:00.000,3
1386,700,"{""by_RBI"": false, ""isPlan"": false, ""status"": null, ""tankId"": 700, ""act_cost"": 44.84, ""createdAt"": ""2023-10-16T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""partial"", ""description"": ""экспертиза промышленной безопасности"", ""activityType"": ""industrial safety expertise"", ""riskLevelPaper"": null, ""tankNewDataDate"": null}",13401,,2023-10-16 00:00:00.000,3
233,136,"{""id"": 0, ""isPlan"": false, ""status"": null, ""tankId"": 136, ""act_cost"": 42.75, ""createdAt"": ""2022-06-21T00:00:00"", ""annualCost"": null, ""annualRisk"": null, ""act_subtype"": ""partial"", ""description"": ""нивелировка"", ""activityType"": ""diagnosis"", ""riskLevelPaper"": null}",13357,,2022-06-21 00:00:00.000,3
